==================================================
     aja_sloleht_2007_12_17.tasak.a009.sol
      DCT: 2007-12-17
==================================================
 s0  V’RKPALL
 s1  Ei [e1 ole ] midagi uut siin vırkpallip‰ikese all . Eesti [e2 karikavıistluste ] [e3 finaali ] [e4 jıudsid ] Tallinna Selver ja Tartu Pere Leib ning 3 : 0 [e5 vıidu ] [e6 vıttis ] Selver .
     e38 "hoidis"  VAGUE  e40 "tuli" 

 s10  " Kohati [e39 saime ] paremini vastu kui Tartus , aga ikka [e40 tuli ] sisse ‰ravajumisi , millest [e41 m‰ngu ] tagasi [e42 saada ] [e43 oli ] [e43 keeruline ] , " [e44 tıdes ] Pere Leiva juhendaja Urmas Tali .
     e39 "saime"  BEFORE  DCT 
     e39 "saime"  BEFORE  e44 "tıdes" 
     e39 "saime"  VAGUE  e40 "tuli" 
     e39 "saime"  VAGUE  e49 "m‰‰ra" 
     e40 "tuli"  BEFORE  DCT 
     e40 "tuli"  BEFORE-OR-OVERLAP  e43 "oli keeruline" 
     e40 "tuli"  BEFORE  e44 "tıdes" 
     e40 "tuli"  VAGUE  e49 "m‰‰ra" 
     e41 "m‰ngu"  BEFORE  DCT 
     e41 "m‰ngu"  INCLUDES  e42 "saada" 
     e42 "saada"  BEFORE  DCT 
     e42 "saada"  OVERLAP-OR-AFTER  e43 "oli keeruline" 
     e43 "oli keeruline"  BEFORE  DCT 
     e43 "oli keeruline"  BEFORE  e44 "tıdes" 
     e44 "tıdes"  BEFORE-OR-OVERLAP  DCT 
     e44 "tıdes"  VAGUE  e49 "m‰‰ra" 

 s11  " Kui [e45 geimilıpud ] [e46 l‰hevad ] k‰est , siis [e47 geimide ] [e48 keskosas ] toimuv v‰ga ei [e49 m‰‰ra ] . "
     e45 "geimilıpud"  VAGUE  DCT 
     e45 "geimilıpud"  INCLUDES  e46 "l‰hevad" 
     e46 "l‰hevad"  VAGUE  DCT 
     e46 "l‰hevad"  AFTER  e49 "m‰‰ra" 
     e47 "geimide"  VAGUE  DCT 
     e47 "geimide"  INCLUDES  e48 "keskosas" 
     e48 "keskosas"  VAGUE  DCT 
     e48 "keskosas"  BEFORE-OR-OVERLAP  e49 "m‰‰ra" 
     e49 "m‰‰ra"  VAGUE  DCT 
     e49 "m‰‰ra"  VAGUE  e50 "¸tles" 
     e49 "m‰‰ra"  VAGUE  e52 "v‰sitas" 

 s12  Tali [e50 ¸tles ] , et [t4 eelmise p‰eva ] raske [e51 m‰ng ] p‰rnakatega [e52 v‰sitas ] tema hoolealuseid .
     e50 "¸tles"  BEFORE-OR-OVERLAP  DCT 
     e50 "¸tles"  AFTER  e52 "v‰sitas" 
     e50 "¸tles"  AFTER  e54 "polnud" 
     e51 "m‰ng"  IS_INCLUDED  t4 "eelmise p‰eva" 
     e51 "m‰ng"  BEFORE  DCT 
     e51 "m‰ng"  BEFORE-OR-OVERLAP  e52 "v‰sitas" 
     e52 "v‰sitas"  BEFORE  DCT 
     e52 "v‰sitas"  BEFORE  e54 "polnud" 

 s13  Sama teravat [e53 minekut ] kui [t5 laup‰eval ] [e54 polnud ] enam noorukesel diagonaalr¸ndajal Oliver Vennol .
     e53 "minekut"  AFTER  t5 "laup‰eval" 
     e53 "minekut"  BEFORE  DCT 
     e53 "minekut"  VAGUE  e54 "polnud" 
     e54 "polnud"  AFTER  t5 "laup‰eval" 
     e54 "polnud"  BEFORE  DCT 
     e54 "polnud"  BEFORE  e55 "nuriseda" 

 s14  " Ega [e55 nuriseda ] [e56 saa ] .
     e55 "nuriseda"  INCLUDES  DCT 
     e55 "nuriseda"  VAGUE  e56 "saa" 
     e55 "nuriseda"  AFTER  e59 "jıudsimegi" ka VAGUE
     e55 "nuriseda"  INCLUDES  e60 "lausus" 
     e55 "nuriseda"  SIMULTANEOUS  e57 "olgem ausad" ka VAGUE
     e56 "saa"  INCLUDES  DCT 

 s15  [e57 Olgem ] [e57 ausad ] , t‰nu temale me ¸ldse [e58 finaali ] [e59 jıudsimegi ] , " [e60 lausus ] Tali .
     e57 "olgem ausad"  INCLUDES  DCT 
     e57 "olgem ausad"  AFTER  e59 "jıudsimegi" 
     e57 "olgem ausad"  INCLUDES  e60 "lausus" 
     e57 "olgem ausad"  AFTER  e61 "tıi" 
     e58 "finaali"  BEFORE  DCT 
     e58 "finaali"  OVERLAP-OR-AFTER  e59 "jıudsimegi" 
     e59 "jıudsimegi"  BEFORE  DCT 
     e59 "jıudsimegi"  BEFORE  e60 "lausus" 
     e59 "jıudsimegi"  AFTER  e61 "tıi" 
     e60 "lausus"  BEFORE-OR-OVERLAP  DCT 
     e60 "lausus"  AFTER  e61 "tıi" 

 s16  Venno [e61 tıi ] [e62 poolfinaalis ] pluss-miinus arvestuses hiilgavad 26 punkti ja viimases [e63 geimis ] [e64 r¸nnakutest ] ¸ksinda pooled Pere Leiva punktid ( 8 ) .
     e61 "tıi"  BEFORE  DCT 
     e61 "tıi"  IS_INCLUDED  e62 "poolfinaalis" 
     e61 "tıi"  IS_INCLUDED  e63 "geimis" 
     e61 "tıi"  OVERLAP-OR-AFTER  e64 "r¸nnakutest" 
     e61 "tıi"  AFTER  e65 "kippus" 
     e61 "tıi"  BEFORE  e70 "muheles" 
     e61 "tıi"  VAGUE  e68 "pole" 
     e62 "poolfinaalis"  BEFORE  DCT 
     e63 "geimis"  BEFORE  DCT 
     e64 "r¸nnakutest"  BEFORE  DCT 

 s17  " Ta k¸ll [e65 kippus ] lıpus [e66 v‰sima ] , aga kui sul [e67 on ] minekup‰ev , [e68 pole ] midagi tagasi [e69 hoida ] , " [e70 muheles ] Tali .
     e65 "kippus"  BEFORE  DCT 
     e65 "kippus"  BEFORE-OR-OVERLAP  e66 "v‰sima" 
     e65 "kippus"  BEFORE  e70 "muheles" 
     e65 "kippus"  IS_INCLUDED  e68 "pole" 
     e65 "kippus"  BEFORE  e71 "ootab" 
     e65 "kippus"  BEFORE  e76 "algas" 
     e66 "v‰sima"  BEFORE  DCT 
     e66 "v‰sima"  IS_INCLUDED  e67 "on" 
     e66 "v‰sima"  VAGUE  e69 "hoida" 
     e67 "on"  VAGUE  DCT 
     e67 "on"  INCLUDES  e69 "hoida" 
     e67 "on"  SIMULTANEOUS  e68 "pole" 
     e68 "pole"  VAGUE  DCT 
     e68 "pole"  VAGUE  e70 "muheles" 
     e68 "pole"  VAGUE  e71 "ootab" 
     e68 "pole"  VAGUE  e76 "algas" 
     e69 "hoida"  VAGUE  DCT 
     e69 "hoida"  BEFORE  e70 "muheles" 
     e70 "muheles"  BEFORE-OR-OVERLAP  DCT 
     e70 "muheles"  BEFORE-OR-OVERLAP  e76 "algas" 
     e70 "muheles"  BEFORE  e71 "ootab" 

 s18  Kui Selver [e71 ootab ] , kas [t6 neljap‰evaks ] [e72 jıuab ] Tallinna Prilepi klubi ja [e73 saab ] [e74 pidada ] ‰ra [e75 eurom‰ngu ] , siis Pere Leival [e76 algas ] [e77 jıulupuhkus ] .
     e71 "ootab"  INCLUDES  DCT 
     e71 "ootab"  BEFORE-OR-OVERLAP  e72 "jıuab" 
     e71 "ootab"  BEFORE  e74 "pidada" 
     e71 "ootab"  INCLUDES  e76 "algas" 
     e71 "ootab"  BEFORE-OR-OVERLAP  e80 "otsustama" ka VAGUE
     e71 "ootab"  VAGUE  e78 "p‰‰sevad" 
     e72 "jıuab"  BEFORE-OR-OVERLAP  t6 "neljap‰evaks" 
     e72 "jıuab"  OVERLAP-OR-AFTER  DCT 
     e72 "jıuab"  BEFORE  e74 "pidada" 
     e73 "saab"  AFTER  DCT 
     e73 "saab"  VAGUE  e74 "pidada" 
     e74 "pidada"  AFTER  DCT 
     e74 "pidada"  SIMULTANEOUS  e75 "eurom‰ngu" 
     e75 "eurom‰ngu"  AFTER  DCT 
     e76 "algas"  BEFORE-OR-OVERLAP  DCT 
     e76 "algas"  BEFORE-OR-OVERLAP  e77 "jıulupuhkus" 
     e76 "algas"  BEFORE-OR-OVERLAP  e78 "p‰‰sevad" 
     e76 "algas"  BEFORE  e80 "otsustama" 
     e77 "jıulupuhkus"  INCLUDES  DCT 

 s19  Vıırleegion‰rid [e78 p‰‰sevad ] [t7 n‰dalaks ] koju ning klubi [e79 peab ] [t8 reedeks ] [e80 otsustama ] , kas kehvalt m‰ngival slovakil Eduard Metelkal [e81 palutakse ] mitte [e82 naasta ] .
     e78 "p‰‰sevad"  BEFORE-OR-OVERLAP  t7 "n‰dalaks" 
     e78 "p‰‰sevad"  INCLUDES  DCT 
     e78 "p‰‰sevad"  BEFORE  e80 "otsustama" 
     e79 "peab"  BEFORE-OR-OVERLAP  t8 "reedeks" 
     e79 "peab"  OVERLAP-OR-AFTER  DCT 
     e79 "peab"  VAGUE  e80 "otsustama" 
     e80 "otsustama"  BEFORE-OR-OVERLAP  t8 "reedeks" 
     e80 "otsustama"  OVERLAP-OR-AFTER  DCT 
     e80 "otsustama"  BEFORE  e81 "palutakse" 
     e80 "otsustama"  BEFORE  e82 "naasta" 
     e81 "palutakse"  AFTER  DCT 
     e81 "palutakse"  BEFORE  e82 "naasta" 
     e82 "naasta"  AFTER  DCT 


