==================================================
     aja_sloleht_2007_12_17.tasak.a004.sol
      DCT: 2007-12-17
==================================================
 s0  Kohtus [e1 andis ] [e2 tunnistusi ] modell Kelly Fisher , kes [e3 oli ] Dodi [e3 kallim ] [t1 1997. aastal ] .
     e18 "soovitas"  BEFORE  DCT 
     e18 "soovitas"  BEFORE  e19 "unustada" 
     e18 "soovitas"  BEFORE  e20 "kurdab" 
     e18 "soovitas"  AFTER  e21 "kinkinud" 
     e19 "unustada"  BEFORE  DCT 
     e19 "unustada"  BEFORE  e20 "kurdab" 
     e20 "kurdab"  BEFORE-OR-OVERLAP  DCT 
     e20 "kurdab"  AFTER  e21 "kinkinud" 

 s5  [t3 Mõni aeg tagasi ] oli Dodi [e21 kinkinud ] talle hiigelsuure safiiriga kihlasõrmuse , peaaegu täpse koopia sõrmusest , mille prints Charles omal ajal Dianale [e22 kinkis ] . "
     e21 "kinkinud"  SIMULTANEOUS  t3 "Mõni aeg tagasi" 
     e21 "kinkinud"  BEFORE  DCT 
     e21 "kinkinud"  AFTER  e22 "kinkis" 
     e21 "kinkinud"  BEFORE  e23 "Pärisin" 
     e21 "kinkinud"  BEFORE  e24 "tahab" 
     e22 "kinkis"  BEFORE  DCT 

 s6  [e23 Pärisin ] temalt , kas ta [e24 tahab ] [e25 kihluse ] [e26 lõpetada ] ?
     e23 "Pärisin"  BEFORE  DCT 
     e23 "Pärisin"  IS_INCLUDED  e24 "tahab" 
     e23 "Pärisin"  VAGUE  e26 "lõpetada" 
     e23 "Pärisin"  SIMULTANEOUS  e27 "Küsisin" 
     e23 "Pärisin"  VAGUE  e29 "lõppenud" 
     e24 "tahab"  BEFORE  DCT 
     e24 "tahab"  INCLUDES  e26 "lõpetada" 
     e24 "tahab"  IS_INCLUDED  e25 "kihluse" 
     e24 "tahab"  SIMULTANEOUS  e29 "lõppenud" 
     e24 "tahab"  VAGUE  e27 "Küsisin" 
     e25 "kihluse"  BEFORE  DCT 
     e25 "kihluse"  INCLUDES  e26 "lõpetada" 
     e26 "lõpetada"  BEFORE  DCT 

 s7  [e27 Küsisin ] , kas meie [e28 vahekord ] on [e29 lõppenud ] ? "
     e27 "Küsisin"  BEFORE  DCT 
     e27 "Küsisin"  IS_INCLUDED  e28 "vahekord" 
     e27 "Küsisin"  VAGUE  e29 "lõppenud" 
     e27 "Küsisin"  BEFORE  e30 "keerutas" 
     e28 "vahekord"  BEFORE  DCT 
     e28 "vahekord"  INCLUDES  e29 "lõppenud" 
     e29 "lõppenud"  BEFORE  DCT 
     e29 "lõppenud"  BEFORE-OR-OVERLAP  e30 "keerutas" 

 s8  Dodi [e30 keerutas ] . "
     e30 "keerutas"  BEFORE  DCT 
     e30 "keerutas"  SIMULTANEOUS  e32 "rääkida" 
     e30 "keerutas"  SIMULTANEOUS  e33 "vihjanud" 

 s9  Ma ei [e31 saa ] telefoni teel [e32 rääkida ] , " ja ei [e33 vihjanud ] poole sõnagagi suhte [e34 lõppemisele ] .
     e31 "saa"  BEFORE  DCT 
     e31 "saa"  VAGUE  e32 "rääkida" 
     e32 "rääkida"  BEFORE  DCT 
     e32 "rääkida"  SIMULTANEOUS  e33 "vihjanud" 
     e32 "rääkida"  AFTER  e35 "maksnud" 
     e32 "rääkida"  AFTER  e36 "ostnud" 
     e33 "vihjanud"  BEFORE  DCT 
     e33 "vihjanud"  BEFORE  e34 "lõppemisele" 
     e33 "vihjanud"  AFTER  e35 "maksnud" 
     e33 "vihjanud"  AFTER  e36 "ostnud" 
     e34 "lõppemisele"  BEFORE  DCT 

 s10  Ta oli [e35 maksnud ] Kellyle 2000 naelsterlingit ( 50 000 krooni ) päevaraha ja [e36 ostnud ] modellile 5 miljonit naelsterlingit maksva maja Los , et ta modellitööst [e37 loobuks ] ja ainult Dodile [e38 pühenduks ] .
     e35 "maksnud"  BEFORE  DCT 
     e35 "maksnud"  SIMULTANEOUS  e36 "ostnud" 
     e36 "ostnud"  BEFORE  DCT 
     e36 "ostnud"  BEFORE  e37 "loobuks" 
     e37 "loobuks"  BEFORE  DCT 
     e37 "loobuks"  BEFORE  e38 "pühenduks" 
     e38 "pühenduks"  BEFORE  DCT 


