==================================================
     aja_pm_2000_10_04.tasak.a010.sol
      DCT: 2000-10-04
==================================================
 s0  Ehitusettevõtja Rašid Šabanov , kes [e1 kavatseb ] 2000 dollariga taskus [e2 seigelda ] Austraaliasse ja tagasi , [e3 otsib ] endale reisikaaslasi .
     e28 "soovib"  SIMULTANEOUS  t6 "nüüd" 
     e28 "soovib"  INCLUDES  DCT 
     e28 "soovib"  INCLUDES  e30 "sõita" 
     e29 "ehitatud"  IS_INCLUDED  t7 "19. sajandil" 
     e29 "ehitatud"  BEFORE  DCT 
     e29 "ehitatud"  BEFORE  e30 "sõita" 
     e30 "sõita"  AFTER  DCT 

 s7  Võibolla isegi rongi katusel , kui muudmoodi ei [e31 saa ] .
     e31 "saa"  AFTER  DCT 
     e31 "saa"  AFTER  e32 "usu" 
     e31 "saa"  OVERLAP-OR-AFTER  e35 "seab" 

 s8  " Keegi ei [e32 usu ] seal , et valge mister [e33 sõidab ] katusel seepärast , et raha kokku [e34 hoida ] , " [e35 seab ] Šabanov kavalat [e36 säästuplaani ] .
     e32 "usu"  VAGUE  DCT 
     e32 "usu"  INCLUDES  e33 "sõidab" 
     e32 "usu"  VAGUE  e35 "seab" 
     e32 "usu"  VAGUE  e39 "värvida" 
     e33 "sõidab"  VAGUE  DCT 
     e33 "sõidab"  IS_INCLUDED  e34 "hoida" 
     e34 "hoida"  VAGUE  DCT 
     e35 "seab"  BEFORE-OR-OVERLAP  DCT 
     e35 "seab"  BEFORE-OR-OVERLAP  e36 "säästuplaani" 
     e35 "seab"  BEFORE  e39 "värvida" 
     e36 "säästuplaani"  BEFORE-OR-OVERLAP  DCT 

 s9  " Ja et meresid [e37 ületada ] , [e38 võib ] laevu [e39 värvida ] . "
     e37 "ületada"  AFTER  DCT 
     e37 "ületada"  OVERLAP-OR-AFTER  e39 "värvida" 
     e38 "võib"  OVERLAP-OR-AFTER  DCT 
     e38 "võib"  BEFORE-OR-OVERLAP  e39 "värvida" 
     e39 "värvida"  AFTER  DCT 
     e39 "värvida"  OVERLAP-OR-AFTER  e41 "on" 
     e39 "värvida"  VAGUE  e47 "maksan" 

 s10  Üks raha [e40 kokkuhoidmise ] viis [e41 on ] Šabanovil veel varuks , Tartu asupaiga äramõistatamise mäng , mida [e42 võib ] näiteks mägikülas kitsepiima [e43 ostes ] [e44 proovida ] - " Kui sa [e45 ütled ] , kus [e46 asub ] Tartu , siis ma [e47 maksan ] selle eest . "
     e40 "kokkuhoidmise"  VAGUE  DCT 
     e40 "kokkuhoidmise"  VAGUE  e41 "on" 
     e41 "on"  INCLUDES  DCT 
     e41 "on"  VAGUE  e44 "proovida" 
     e41 "on"  INCLUDES  e48 "soovib" 
     e42 "võib"  VAGUE  DCT 
     e42 "võib"  BEFORE-OR-OVERLAP  e44 "proovida" 
     e43 "ostes"  VAGUE  DCT 
     e43 "ostes"  INCLUDES  e44 "proovida" 
     e44 "proovida"  VAGUE  DCT 
     e45 "ütled"  VAGUE  DCT 
     e45 "ütled"  BEFORE  e47 "maksan" 
     e45 "ütled"  VAGUE  e46 "asub" 
     e46 "asub"  VAGUE  DCT 
     e47 "maksan"  VAGUE  DCT 
     e47 "maksan"  AFTER  e48 "soovib" 

 s11  Seikluseotsijate rühma suuruseks [e48 soovib ] Šabanov kuni kuus inimest .
     e48 "soovib"  INCLUDES  DCT 
     e48 "soovib"  INCLUDES  e49 "Sobib" 
     e48 "soovib"  INCLUDES  e52 "täpsustab" 

 s12  " [e49 Sobib ] igaüks , sest mägedesse me [e50 ronima ] ei [e51 hakka ] , " [e52 täpsustab ] kaaslasi otsiv rändur .
     e49 "Sobib"  OVERLAP-OR-AFTER  DCT 
     e49 "Sobib"  INCLUDES  e51 "hakka" 
     e49 "Sobib"  OVERLAP-OR-AFTER  e52 "täpsustab" 
     e49 "Sobib"  BEFORE-OR-OVERLAP  e53 "tuleb" 
     e50 "ronima"  AFTER  DCT 
     e50 "ronima"  OVERLAP-OR-AFTER  e51 "hakka" 
     e51 "hakka"  AFTER  DCT 
     e51 "hakka"  AFTER  e52 "täpsustab" 
     e52 "täpsustab"  BEFORE-OR-OVERLAP  DCT 
     e52 "täpsustab"  BEFORE  e53 "tuleb" 

 s13  " Aga võibolla [e53 tuleb ] [e54 ööbida ] telgiga karjuste juures või magamiskotis vaksali põrandal . "
     e53 "tuleb"  AFTER  DCT 
     e53 "tuleb"  BEFORE-OR-OVERLAP  e54 "ööbida" 
     e53 "tuleb"  AFTER  e55 "räägib" 
     e54 "ööbida"  AFTER  DCT 

 s14  Šabanov [e55 räägib ] sõbrast , kes muudkui tööd [e56 rügas ] , kuni [t8 ühel päeval ] [e57 suri ] .
     e55 "räägib"  BEFORE-OR-OVERLAP  DCT 
     e55 "räägib"  AFTER  e56 "rügas" 
     e55 "räägib"  AFTER  e57 "suri" 
     e55 "räägib"  IS_INCLUDED  e58 "mõtlen" 
     e56 "rügas"  BEFORE  DCT 
     e56 "rügas"  BEFORE  e57 "suri" 
     e57 "suri"  IS_INCLUDED  t8 "ühel päeval" 
     e57 "suri"  BEFORE  DCT 

 s15  " [t9 Nüüd ] ma [e58 mõtlen ] , et mille nimel ta [e59 töötas ] .
     e58 "mõtlen"  SIMULTANEOUS  t9 "Nüüd" 
     e58 "mõtlen"  INCLUDES  DCT 
     e58 "mõtlen"  AFTER  e59 "töötas" 
     e58 "mõtlen"  INCLUDES  e62 "põhjendab" 
     e58 "mõtlen"  SIMULTANEOUS  e61 "olla eesmärk" ka VAGUE
     e59 "töötas"  BEFORE  DCT 

 s16  Töö ei [e60 saa ] [e61 olla ] ainukene [e61 eesmärk ] elus , " [e62 põhjendab ] Šabanov [e63 soovi ] [e64 haarata ] rändurikepp .
     e60 "saa"  VAGUE  DCT 
     e60 "saa"  VAGUE  e61 "olla eesmärk" 
     e61 "olla eesmärk"  VAGUE  DCT 
     e61 "olla eesmärk"  VAGUE  e62 "põhjendab" 
     e62 "põhjendab"  BEFORE-OR-OVERLAP  DCT 
     e62 "põhjendab"  BEFORE-OR-OVERLAP  e64 "haarata" 
     e62 "põhjendab"  IS_INCLUDED  e63 "soovi" 
     e63 "soovi"  INCLUDES  DCT 
     e63 "soovi"  INCLUDES  e64 "haarata" 
     e64 "haarata"  OVERLAP-OR-AFTER  DCT 


